id;prognoselink;farbe;badestellelink;badname;bezirk;dat;cb;eco;ente;sicht;temp;profil;profillink;pdflink;rss_name;bsl;algen;wasserqualitaet;farb_id;wasserqualitaet_lageso;wasserqualitaet_predict;dat_predict
1;;gruen.jpg;"""Alter Hof(Link zur Badestelle Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php";"Alter Hof";Steglitz-Zehlendorf;2021-06-08;360;<15;<15;170;24,8;Unterhavel;"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad29.pdf";"Alter Hof / Unterhavel";B334;;1;1;;;
4;;gruen.jpg;"""Bammelecke(Link zur Badestelle Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php";Bammelecke;Treptow-Köpenick;2021-06-01;2300;<15;<15;320;18,5;Dahme;"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad1.pdf";Bammelecke;B225;;1;1;;;
7;;gruen_prog.jpg;"""Breitehorn(Link zur Badestelle Breitehorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php";Breitehorn;Spandau;2021-06-08;<300;<15;<15;100;23,9;Unterhavel;"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad30.pdf";"Breitehorn / Unterhavel";B332;;11;11;1;ausgezeichnet;2021-06-14T04:05:58.277Z
10;;gruen.jpg;"""Bürgerablage(Link zur Badestelle Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php";Bürgerablage;Spandau;2021-06-09;<300;<15;<15;130;24,1;Oberhavel;"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad16.pdf";"Bürgerablage / Oberhavel";B304;;1;1;;;
13;;gruen.jpg;"""Dämeritzsee(Link zur Badestelle Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php";Dämeritzsee;Treptow-Köpenick;2021-06-01;<300;15;<15;100;18,4;"Großer Müggelsee";"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad2.pdf";Dämeritzsee;B105;;1;1;;;
16;;gruen.jpg;"""Flughafensee(Link zur Badestelle Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php";Flughafensee;Reinickendorf;2021-06-02;<300;<15;<15;200;20,4;Flughafensee;"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad3.pdf";Flughafensee;B920;;1;1;;;
19;;gruen.jpg;"""Seebad Friedrichshagen(Link zur Badestelle Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php";"Friedrichshagen, Seebad";Treptow-Köpenick;2021-06-01;<300;<15;<15;>230;16,8;"Großer Müggelsee";"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad4.pdf";"Seebad Friedrichshagen";B118;;1;1;;;
22;;gruen.jpg;"""Flußbad Gartenstraße(Link zur Badestelle Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php";"Gartenstraße, Flussbad";Treptow-Köpenick;2021-06-01;1500;<15;15;280;18,6;Dahme;"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad5.pdf";"Flussbad Gartenstraße";B230;;1;1;;;
25;;gruen.jpg;"""Groß Glienicker See, nördlich(Link zur Badestelle Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php";"Groß Glienicker See, nördlich";Spandau;2021-06-03;<300;30;<15;300;20;"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad6.pdf";"Groß Glienicker See, nördlich";B961;;1;1;;;
28;;gruen.jpg;"""Groß Glienicker See, südlich(Link zur Badestelle Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php";"Groß Glienicker See, südlich";Spandau;2021-06-03;<300;15;<15;250;19,6;"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad7.pdf";"Groß Glienicker See, südlich";B962;;1;1;;;
